cycle_length,wallets,cycle_path,total_volume_usd,total_transactions
4,"['BxeZSA8PR2fB5sYkB7MPM653bV51Uqfk2NvnrukYhkz6', '7uHgqMr7bJMe516zBkd23TnFNoHHdPgesgwLtQNBxCnS', '3N3UYzTV6V7QamECYk6CArRAr7g3yD2qLJoeGSVUaBiN', '2yJTepLjtEhT1BJRRY3hHViBAPGrXnSNjDGMQmJFrgtP']",BxeZSA8P... → 7uHgqMr7... → 3N3UYzTV... → 2yJTepLj... → BxeZSA8P...,255.98858616577002,4
3,"['BxeZSA8PR2fB5sYkB7MPM653bV51Uqfk2NvnrukYhkz6', 'D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA', '92rbMBEcSyvudgKGbDPqyZUndMXQFmWkMrKi9GJkWqos']",BxeZSA8P... → D4EwnPB4... → 92rbMBEc... → BxeZSA8P...,248.191403646444,3
3,"['8PbAgMN73p1FMaDLqNyoSPeyh5uUTVFDdK5XanufXSZo', '7uHgqMr7bJMe516zBkd23TnFNoHHdPgesgwLtQNBxCnS', 'BxeZSA8PR2fB5sYkB7MPM653bV51Uqfk2NvnrukYhkz6']",8PbAgMN7... → 7uHgqMr7... → BxeZSA8P... → 8PbAgMN7...,247.4251949661,3
2,"['tp7ZRGGBBK6uREbPqQTEqUi3qMqddcZGgb7B9eaRaDv', '936rQof5duh9W8iVNTFjbMHD5aVf5rnJ6cZhWu8io8K7']",tp7ZRGGB... → 936rQof5... → tp7ZRGGB...,245.596804791734,3
2,"['BxeZSA8PR2fB5sYkB7MPM653bV51Uqfk2NvnrukYhkz6', '7uHgqMr7bJMe516zBkd23TnFNoHHdPgesgwLtQNBxCnS']",BxeZSA8P... → 7uHgqMr7... → BxeZSA8P...,239.82884102192202,2
2,"['D4EwnPB4tYV93Jo1uMQXiaPtjGa3ii97pYfaWY2XktAA', 'HgSC6VYwwGCUwY8Qg3VvwQNxJ1LMpD8PPtrrkVXugkcP']",D4EwnPB4... → HgSC6VYw... → D4EwnPB4...,51.281265077536,2
2,"['tp7ZRGGBBK6uREbPqQTEqUi3qMqddcZGgb7B9eaRaDv', 'CzWEMQ4F7uVc7WeKdYkdNjknafeWKqeKeFYEpmTopui9']",tp7ZRGGB... → CzWEMQ4F... → tp7ZRGGB...,50.330299731219,2
3,"['3N3UYzTV6V7QamECYk6CArRAr7g3yD2qLJoeGSVUaBiN', 'CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf', '9GcxvMJmsKvVmRHUrDENTUMazzLMCssGuyoTd8bdK2hZ']",3N3UYzTV... → CqQMFUCE... → 9GcxvMJm... → 3N3UYzTV...,46.35270686643,3
2,"['tp7ZRGGBBK6uREbPqQTEqUi3qMqddcZGgb7B9eaRaDv', '6ZztwgVJVccBi5VNGVFDKDwcMFzuvW5cErRgbTBpoekp']",tp7ZRGGB... → 6ZztwgVJ... → tp7ZRGGB...,43.010515299872,2
4,"['8PbAgMN73p1FMaDLqNyoSPeyh5uUTVFDdK5XanufXSZo', '7uHgqMr7bJMe516zBkd23TnFNoHHdPgesgwLtQNBxCnS', '3N3UYzTV6V7QamECYk6CArRAr7g3yD2qLJoeGSVUaBiN', 'CqQMFUCEMbK9Cp9yMonmthKqzc59Ta48JpZMZsh1bDqf']",8PbAgMN7... → 7uHgqMr7... → 3N3UYzTV... → CqQMFUCE... → 8PbAgMN7...,37.293861485148,4
